Atalar_sozlari|Random_Ededer
Barsız ağaca daş atmazlar.|69
Barıt ilə odun dostluğu olmaz.|28
Barmağın hansın kəssən, ağrısı birdir.|515
Barmağının beşini də bal eləyib ağzına salsan, deyər zəhərləndim.|514
Barmaq-barmaq oğurlayan qarış-qarış oğurladar.|728
Basdırdığı ölü özündən qabaq gəldi.|404
Baş namərd əlindədir; nə kəsər, nə bağışlar.|896
Baş onun, daş bunun, mənimki görməməkdi.|79
Baş sağ olsun, papaq tapılar.|17
Başa dil gətirəni, el gətirə bilməz.|807
Başa düş, başımı yar.|546
Başa gələn dildən gəlir.|92
Başaçığın qaçacağı yer – papaqçı dükanı.|894
Baş-başa verməyincə, daş yerindən qopmaz.|375
Başbilənsiz iş olmaz.|280
Başda oturan bəy olmaz.|823
Başımı sındır, məzənnəni sındırma.|625
Başımı yarırsan, ətəyimə qoz tökürsən, baxan desin qoz yarıb.|588
Başımı yarmağına görə barı daş olaydı.|279
Başın keçəl, gözün kor, bəs sənin haran yaxşı?|272
Başını itirən tel üçün ağlamaz.|271
Başını keçəl eləmə; hər keçəlin taleyi bir olmaz.|756
Başuva daş da salsan uca yerdən sal.|474
Başladığın işi yarımçıq qoyma.|699
Başlı başın saxlasın, mən başımdan bezaram.|615
Başmağımı geyə bilərsən, yerişimi yeriyə bilməzsən.|46
Başmaq cütlənəndə bilinər.|35
Başmaq palçıqsız olmaz.|509
Başmaqçının başmağı olmaz, börkçünün börkü.|295
Başmaqçının başmağı yırtıq olar.|191
Bayırda mini ölsün, evimdə biri ölməsin.|397
Bayırı kaşı-çini, içərisi toyuq hini.|340
Bayquş xarabalıq sevər.|85
Bayquş xarabalığı gülüstana dəyişməz.|806
Bayram sümüyü ilə köpək kökəlməz.|173
Bayraməlisiz toy olmaz, Qəmbərsiz düyün.|758
Bazar içində it qulağı kəsməzlər.|752
Bazar quruldu, hesab duruldu.|709
Bazarın bazar, qadam sənə, mərdimazar.|425
Bekarlıqdansa – culfalıq.|949
Belə matahın var, Cəfərabad (Mazandaran) bazarına apar.|452
Belə otyeyən idin, nə üçün arıq düşdün?!|309
Belə şıllaq atan madyan qulun saxlamaz.|764
Belə yatan öküz yük götürməz.|877
Beş barmağın beşi də tən deyil.|445
Bez geyərəm, düz gəzərəm.|161
Bədcinslik maya istəməz.|696
Bədəsil əvvəl vəfa göstərər, sonra cəfa.|70
Bədəsildən əsil olmaz, boyunca qızıl qala.|150
Bədəsili başa çəkərsən, sürüşər ayağa düşər.|664
Bədəsilin başmağını cütlərsən, deyər geridə dur.|548
Bədrəng də bir rəngdir.|687
Bəhanəçiyə bəhanə əskik olmaz.|915
Bəhs ilə Həcə gedən yorular yolda qalar.|598
Bəxşiş var – xalvarla, hesab var – dinarla.|328
Bəla bəla gətirər.|792
Bəla gələndə “gəlirəm” deməz.|222
Bəladan qaçan bəlaya tutular.|794
Bəlkə sən bostanuvı pozmusan, mən yemişsiz qalmayacağam ki…|436
Bəlkəni əkərsən bitməz.|376
Bəndə bəndəyə neylər, Xuda gözdən salmasa?!|717
Bənnasız hörük hörülməz.|958
Bənzəyə-bənzəyə yaz olar, bənzəyə-bənzəyə qış.|208
Bərəkət harda var? – Böyüklü yerdə.|200
Bərəkət ondur, onu da düzlük.|664
Bəslə qarğanı, oysun gözünü.|805
Bəslə yetimi, yesin ətini.|803
Bəy dediyin nədir, bəyənmədiyin nə?!|352
Bəy don geydi, hamı dedi: mübarək olsun.Yoxsul geydi, hamı dedi: hardan gətirdin?|473
Bəy ilə bəy savaşdı, ortada kasıbın başı yarıldı.|714
Bəy mənim arxam, mən kimdən qorxam?!|225
Bəy oğlu gördüm, tamaha düşdüm.|777
Bəy verən atın dişinə baxmazlar.|829
Bəylə bostan əkənin tağı çiynində bitər.|16
Bəylə Ùaca gedən çöllərdə sərgərdan qalır.|883
Bəyliyi başarmadın, canın çıxsın belə gəz.|512
Bəyaz ipək hər rəngə boyanar.|84
Bəzənmirəm ağadan qorxuram, bəzənirəm xanımdan.|611
Bığdan kəsir, saqqala qoyur.|692
Bildir gedən bildirçin, hanı sənin bir qılçın?!|120
Bildir ölüb boz eşşək, bu il gəlin ağlayaq.|328
Bildir yedim bir incir, indi də qarnım incir.|211
Bildirçin camalabaddan hara gedər; dəni yanında, suyu yanında.|289
Bildirçinin bəyliyi darı sovulanacandır.|669
Bildiyindən danış, bilmədiyin səni güdaza verər.|669
Bilən az deyər, bilməyən yüz.|689
Bilənə bir, bilməyənə min oxu.|69
Bilənin də başına dönüm, bilməyənin də, dad yarımçıq əlindən.|982
Bilənlə bilməyən tay olmaz.|961
Bilmədiyin bildiyindən çoxdu.|361
Bilməmək ayıb deyil, soruşmamaq ayıbdı.|115
Bilməsən, bir biləndən sor.|551
Bilsəydim atın öldüyünü, qulağı dolusu darıya satardım.|639
Bilsəydim, dərdim iki olmazdı.|38
Biləyi güclü olan birin yıxar, biliyi güclü olan minin.|157
Bir ac güləyən olar, bir də yalavac.|424
Bir ac qudurğan olar, bir tox.|502
Bir ağacda gül də bitər, tikan da.|74
Bir ağıllı baş min başı saxlar.|720
Bir almağın bir də verməyi var.|543
Bir arxa ki su gəlib, güman var yenə gələ.|323
Bir ata yeddi oğulu dolandırdı, yeddi oğul bir atanı dolandırmadı.|100
Bir ayaq sən gəl, iki ayaq mən gəlim.|974
Bir barmaq baldan ötrü tuluğun götün yırtmazlar.|406
Bir biləndən qorx, bir də bilməzdən.|1
Bir buğda əkməsən, min buğda biçməzsən.|817
Bir çılpağı yüz cübbəli soya bilməz.|94
Bir çıraq işığına yüz nəfər oturar.|557
Bir çıraq ki haqdan yana, yağı neylər, yağı neylər?!|647
Bir çörək özün ye, birin də Allah yolunda ver.|799
Bir çulum var ataram, harda gəldi yataram.|981
Bir çuval qızıl borcun olsun, bir çuval buğda borcun olmasın.|30
Bir dadan peşman, bir dadmayan.|418
Bir dadanandan qorx, bir qudurandan.|771
Bir dağ yıxılmasa bir dərə dolmaz.|365
Bir dana bir naxırı korlar.|709
Bir daş altda, bir daş üstdə.|680
Bir daş qopanda daha yerini tutmaz.|942
Bir daşla divar olmaz.|253
Bir daşla iki quş vurmaq olmaz.|173
Bir də gəlin ollam, oturduğumu-durduğumu billəm.|150
Bir də qatırçının qatırını hürkütmə.|463
Bir dəfə aldanmışda qəbahət aldadanın, iki dəfə aldanmışda qəbahət aldananın.|233
Bir dəfə yeməknən qarın doymaz.|698
Bir dəli quyuya bir daş atdı, on ağıllı onu çıxara bilmədi.|678
Bir dəlidən yeddi məhləyə zərər dəyər.|40
Bir dərdlinin dərmanın o dərdə düşəndən al.|419
Bir dirhəm min eybi örtər.|354
Bir doğru ki yalana oxşadı, onu söyləmə.|396
Bir əldə iki qarpız tutmaq olmaz.|413
Bir ət ki girdi qazana, oldu yeməli.|606
Bir gələn bir də gələr, səbr elə.|236
Bir gördün namərdi, bir də görsən, namərdsən.|218
Bir görən yoldaş, iki görən qardaş.|962
Bir göz iki gözün gördüyün görə bilməz.|679
Bir gül ilə bahar olmaz.|730
Bir gün duz yediyin yerə qırx gün salam ver.|420
Bir günün bəyliyi də bəylikdir.|252
Bir halalı min haram saya bilməyibdilər.|793
Bir həsirdi, bir Məmmədnəsir.|216
Bir igid qırx ildə meydana gələr.|33
Bir igid yoxsul ola, ona əl-ayaq gülər.|763
Bir igidin payı iki igidi ac qoyar.|268
Bir iş başlamayınca qurtarmaz.|593
Bir işi bitirməyincə bir işə başlama.|549
Bir it hürməklə karvan qayıtmaz.|349
Bir kəndin ki, koxası mürdüş ola, heç olar ki, orda xeyir iş ola?!|957
Bir kora bir dəyənək.|136
Bir köçmək – yüz talanmaq.|260
Bir küllükdə iki xoruz banlamaz.|44
Bir qatı nazik, iki qatı yoğun, qat yarımı hardan tapım?!|600
Bir qazanda iki kəllə qaynamaz.|764
Bir qız bir oğlanındı.|146
Bir qoyundan iki dəri çıxmaz.|158
Bir qoz üçün daş atılmaz.|910
Bir qulğuna min qırğına səbəbdir.|29
Bir mıx bir nalı, bir nal bir atı, bir at bir igidi, bir igid bir eli saxlar.|643
Bir müştəriyçün dükan açılmaz.|715
Bir naxırın adını bir ala dana batırar.|880
Bir napakdan qorun, bir də köpəkdən.|345
Bir pakın duası, bir napakın duası.|924
Bir sözün min bir budağı var.|878
Bir sözünü beş batman balla yemək olmur.|806
Bir su ki girdi qaba, oldu içməli.|191
Bir su ki məni axıdır, mənim üçün dəryadır.|339
Bir şəhərə getdin gördün hamı kor, sən də – kor.|610
Bir tabaq kütüm olsa, biri sənə yoxdu.|125
Bir talada iki axsaq ceyran olmaz.|69
Bir təpə yıxılar, bir dərə dolar.|576
Bir tikəni bilməyən min tikəni də bilməz.|425
Bir tikənin qırx il haqqı var.|554
Bir tikəylə dağ aşmaq olar.|448
Bir torba dəni var, beş dəyirmana üyütməyə gedir.|417
Bir ürəkdə iki sevgi olmaz.|464
Bir var Koroğlu, bir də var kor kişinin oğlu.|120
Bir vermə, bir də dilər, yatmağa yer də dilər.|771
Bir vuran min vur deyəndən yaxşıdır.|336
Bir vurmaqla ağac yıxılmaz.|702
Bir yaxşıdan ötrü – ha gəzməsən yüz il gəz!|274
Bir yandan bağlayan bir yandan açar.|840
Bir yerdə otur ki, durmayasan.|303
Birə də ho de, minə də ho de!|57
Birə dəyməz, mini bəyənməz.|813
Biri acından şalvarın satırdı, dedilər: nisyə verərsənmi?|780
Biri itməyincə biri bitməz.|11
Biri körpü tapmır keçə, biri su tapmır içə.|525
Biri mənim, biri bəndənin, birini də nazlı yara göndərim.|924
Biri minə bağlıdır, mini də birə.|408
Biri od olanda biri su olsun gərək.|497
Biri ölməsə, biri dirilməz.|771
Biri palçığa batıb, biri də yanında yatıb.|252
Biri vardı gecədən, biri də düşdü bacadan.|15
Biri yeyər, biri baxar – qiyamət onda qopar.|303
Birin gör – fikir elə, birin gör – şükür elə.|204
Birin yandırıb, birin qandırma.|908
Birindən soruşdular: qatır niyə səsin çıxartmır? Dedi: atasın yadına salmaq istəmir!|807
Birini evə qoyan yox idi, soruşdu: çuxamı hardan asım?|736
Birlik harada, dirilik orada.|188
Birlik olmayan yerdə dirilik olmaz.|257
Birənin qanın aldın – canın aldın.|49
Bismillah deməklə donuz bostandan çıxmaz.|772
Bişincən gözləyən düşüncən də gözləyər.|706
Bitə acıq eləyib köynəyi yandırmazlar.|45
Bitli əlin qoynuna apardı, ac gümana düşdü.|783
Bitmiş işdən gül iysi gələr.|34
Biyara get, bekar qalma.|738
Biz gəldik gəlini görməyə, gəlin də gedib təzək dərməyə.|490
Biz yalvardıq daza, daz da özün qoydu naza.|627
Bizə çatdı, dəyirman yatdı.|795
Bizə də bir gün doğar.|210
Bizə gələn bizə oxşar.|354
Bizə yetişən keçəlin saçı dabanından oldu.|6
Boğaz yediyin istəməz, göz gördüyün istər.|185
Boğuşan köpəyin yarası əskik olmaz.|871
Borc alan, salam da var.|44
Borc almaq başlayan yerdə dostluq pozular.|17
Borc gülə-gülə gedər, ağlaya-ağlaya gələr.|516
Borc igidi əridər.|834
Borc ilə alınan köynək adamı təmiz saxlamaz.|45
Borc ki oldu yüz, gir içində üz.|800
Borc su dəyirman dolandırmaz.|628
Borc verməklə tükənər, yol getməklə.|705
Borcdan qorxan qapısını gen açmaz.|943
Borcla alınan eşşək su yolunda ölər.|630
Borclu borclunun sağlığın istər.|796
Borclu ölməz, bənizi saralar.|661
Borclunun duaçısı alacaqlıdır.|531
Borcunu verən dövlətlənər.|385
Bostana dadanan eşşəyin qulağı-quyruğu olmaz.|364
Bostançının sovqatı kəlik olar.|342
Boş anbar, boş dağarcıq, ha ölç, ha ölç – doldur!|381
Boş araba çox səs salar.|524
Boş çanağı dolu çanağa vurmazlar.|57
Boş çuval bucaqda qalar.|619
Boş damardan qan çıxmaz.|384
Boş durunca düşmanına daş daşı.|38
Boş eşşək yeyin gedər.|683
Boş qabını vur, dolu qabımı sındır; bu zülmü kim götürər.|284
Boş süfrəyə nə bismillah?!|399
Boş sünbülün başı yuxarı olar.|429
Boş torbayla at tutulmaz.|106
Boş tutan bərk kəsər.|914
Boyunduruqdan qaçan öküzü kəsərlər.|830
Boz tula gedir, boynu yoluq tula gəlir.|72
Böhtana düşən odsuz yanar.|889
Börkçünün börkü olmaz, kürkçünün kürkü.|209
Börkü isti-soyuqdan ötrü başa qoymazlar.|534
Böylə qəm, böylə kədər, böylə gələr, böylə gedər.|835
Böyük ağacın kölgəsi də böyük olar.|438
Böyük balıq kiçik balığı yeyər.|89
Böyük başın böyük də dərdi olur.|845
Böyük böyüklüyün bilməsə, kiçik də kiçikliyin bilməz.|146
Böyük danışanı kiçik götürər.|558
Böyük loxma çeynə, böyük söz danışma.|155
Böyük olanın qursağı gen gərək.|346
Böyük tikə boğaz yırtar.|340
Böyük tökəni kiçik yığar.|530
Böyüklərdə zor olar, yalan olmaz.|222
Böyüksüz evdə xeyir-bərəkət olmaz.|394
Böyüyün tanımayan qibləsin də tanımaz.|487
Böyüyün üzünə ağ olanı torpaq götürməz.|784
Bu ağıl məndə, o dua səndə – səhərəcən yatarıq.|920
Bu arşına bez verməzlər.|597
Bu cırım, bu cındırım, mən durum necə sındırım?!|819
Bu darı o aclığa çatmaz.|426
Bu daş, bu tərəzi.|181
Bu dünya dəyirmandı, üyüdər bir gün bizi.|255
Bu elti elə bilər o elti dünyanı yedi.|428
Bu evin işığı o evə düşməz.|197
Bu əlin rənci bu ələ haramdı.|188
Bu gün mənə isə sabah da sənədir.|409
Bu gün sən deyirsən, sabah sənə deyərlər.|698
Bu günün işini sabaha qoyma.|442
Bu günün sabahı var.|574
Bu gününən çörək qazan, onu da Nurcahan yesin, dindirəndə yalan desin.|44
Bu – hələ kamilləri, gör nədir cahilləri.|480
Bu qırğına xan dözməz.|890
Bu necə bostançıdır? Dəymişi qoyar, kalın dərər?!|546
Bu ölü bu şivənə dəyməz.|502
Bu şər, bu meydan.|388
Bu yatış səninəndi, bu duruş məninəndi, ikimizdən bir gomuş balası törər.|350
Bugünkü bağır-övkə sabahın yağlı tikəsindən irəlidir.|986
Bugünkü söz sabahkı sözün körpüsüdür.|471
Builki sərçə bildirki sərçəyə civ-civ öyrədir.|705
Buğda çörəyin yoxsa, şirin dilin olsun.|620
Buğda olmayan yerdə darını gözə təpərlər.|515
Buğdadan, arpadan əlim üzüldü, umudum sənə qaldı, ay darı xırmanı!|63
Buğdasını sütül yeyən xırmanda ac qalar.|950
Buxarı əyri oldu neylər, tüstüsü düz çıxsın.|421
Bulaq başından bulanar.|43
Bulaq gərək yerindən bulaq ola.|334
Bulaq öz gözünü kor istəməz.|227
Bulamac dəliyə qaldı.|95
Bulaşıqlı səhəngdən bulanıq su tökülər.|564
Burda dilənir, orda zəkat verir.|360
Burda oturma, his olarsan, orda oturma, pis olarsan.|640
Burnu fırtıqlı quzu buynuzu burma qoç olar.|108
Burun-qulaq başın sadağasıdır.|143
Buz nazik yerindən sınar.|750
Büdrəməyən yıxılmaz.|152
Bülbül öz günüyçün ağlayır.|43
Bülbül viranədən ötməz, bayquş viranədən getməz.|610
Bülbülün çəkdiyi dil bəlasıdır.|680
Cahıllıqda bəzənmədim, hayıf mənə, qocalıqda bəzənmişəm, ayıb mənə.|490
Cahil axırda tula quyruğu xınalar.|579
Cahil dirilərin ölüsüdür.|408
Cahil ilə bal yemə, ahıl ilə daş daşı.|17
Cahildə söz əylənməz.|985
Camadarın şahlığı hamamçılıqdır.|571
Came nə qədər böyük olsa, imam yenə bildiyin oxur.|485
Can candan ayrıdır.|647
Can de, can eşit.|332
Can sağlığı dövlətdir, demə, babam, yoxsulam.|293
Can sənin, cəhənnəm Tarının.|618
Can şirin olur.|949
Can verəndə boz sərçəyə ver, qaranquş gəldi-gedərdi.|413
Can verməyən canana yetməz.|304
Can versən qardaşa ver, min il keçə yad olmaz.|851
Cana gələn mala gəlsin.|96
Candı çəkər, qandı qaynıyar.|815
Canı acışan eşşək atdan yeyin gedər.|195
Canı canan yolunda deyən çox olar, qıyan az.|286
Canım qurban, yaxşı qonaq! Gəl uçaq bir də qonaq.|296
Canımı da alsan, gülə-gülə al.|572
Canında olmayana candar ağacı neyləsin?!|16
Canını yaxşı saxla qəfil əcəldən.|235
Cananı sevən canından keçər.|515
Canavar tək qalanda başına çaqqallar yığışar.|452
Canavarın üzü ağ olsa, kəndə gündüz gələr.|226
Cavahir cında içində olar.|10
Cavahirin qiyməti var, amma atalar sözünün qiyməti yoxdur.|717
Cavan baş bir çanax qandı.|868
Cavanlıqda daş daşı, qocalıqda ye aşı.|621
Cavanlıqda qocalığa güc saxla.|774
Ceyran qovan çiçəyə batar, donuz qovan palçığa.|644
Ceyranın qaçmağın elə gördüm, ətindən zəhləm getdi.|173
Cəfasın çəkən səfasın görər.|107
Cəhd çarıq yırtar, iş odur haqqa vara.|968
Cəhd elə dost qazan, düşmən ocaq başında.|237
Cəhənnəmə gedən gələr, müştərinin gedəni gəlməz.|218
Cəhənnəmə gedən yoldaşını çox istər.|940
Cəngəl də özünü bağ sanar.|832
Cərgədən qalan keçəl olar.|443
Cidanı çuvalda gizlətmək olmaz.|409
Cinə börk tikər, şeytana papış.|16
Cinə dəmir göstərdilər.|598
Cins cinsə əsər eləməz.|890
Cins xoruz yumurtada banlayar.|27
Cins madyan balanı döşündə saxlar.|186
Comərd deyib maldan elərlər, igid deyib candan elərlər.|975
Cuhud qan görüb!|590
Culfa kəfənsiz ölər.|32
Cücə ağgünlü olsaydı, toyuq əmcəkli olardı.|842
Cücə nənəsindən süd görməyib.|109
Cücəni çalağandan sonra sanarlar.|733
Cücəni payızda sayarlar.|744
Cücəyə bəylik verdilər, anasın eşşəyə mindirdi.|397
Cütcü yağış istər, yolçu quraqlıq.|505
Cütə gedən öküz gözündən tanınar.|212
Cüzvi külliyə tabedi.|592
Çağırılan yerə ərinmə, çağrılmayan yerdə görünmə.|397
Çağırılmamış qonaq süpürülməmiş yerdə oturar.|377
Çağırram – eldən ayıb, çağırmanam – it itdi.|797
Çax-çax edən nalçadır, iş bitirən axçadır.|96
Çaqqal güləndə toyuq qaqqıldar.|571
Çaqqal var gödən çıxarır, qurdun adı bədnamdı.|244
Çaqqalın yuxusuna toyuq gələr.|202
Çala-çala çalağan olar.|39
Çalağan göydə dolanar, cücənin ürəyi bulanar.|646
Çalış ki, dostun olsun, düşmən ocaq başında.|887
Çamura daş atma, üzünə sıçrar.|417
Çanaxda balın olsun, Yəməndən arı gələr.|34
Çapqınçı ol, insafı əldən vermə.|493
Çarəsiz dərdə Loğman da acizdir.|314
Çarığını əsirgəməyən patavasın da qoyar üstünə.|524
Çarvadara yol göstərməzlər.|108
Çay min olar, çeşmə bir.|174
Çaya çatmamış çarığını çıxarma.|733
Çayın daşı, çölün quşu.|583
Çayır dedi: yeddi il leylək yuvasında qaldım, yerə düşüb genə atamın vətənin itirmədim.|800
Çəkmə, çəkə bilməzsən, bərkdir fələyin yayı!|242
Çəkmə, çəkmə bu dərdi, çəkən bilər bu dərdi.|27
Çəkmə namərd minnətin, get qürbətdə dolan gəz.|652
Çəltik xatirinə suluflar da su içir.|333
Çəngi ölüsü dəf-dumbulla basdırılar.|552
Çənginin qazandığı ənliyə, kirşana gedər.|324
Çərçi başındakını da satar.|575
Çərçi kisəsindəkini satar.|341
Çərçi qızı mıncığa aşıq olar.|242
Çərçinin andı eşşəyinə qənim olar.|106
Çəkişməsən bərkişməzsən.|633
Çıxan ay doğuşundan bəllidi.|481
Çıxan can geri dönməz.|745
Çıxan qan damarda qalmaz.|415
Çıxan qız çığdan baxar.|6
Çıxmayan cana umud çoxdur.|876
Çınqı balacadı, odu böyük.|731
Çıraq keçənə yaxın çox işıq verər.|756
Çıraq öz dibinə işıq salmaz.|825
Çibin qana yığılar.|267
Çirkaba daş atma, üstünə sıçrar.|697
Çirki çirk aparar, hayıf oynaş paltarı.|600
Çirkin bəzənincə toy keçər.|23
Çirkin üzün gizlədər, göyçək budaqlar gəzər.|830
Çirkinim, gözlə, gedim gözəl axtarım, tapmadım gözəlimsən ki, gözəlim.|765
Çirkinliyin Allahdan, üz yumamağın nədən?!|718
Çiy ətdən nənə də bezardır, bala da.|968
Çiy süd əməndən eyilik gözləmə.|984
Çiynənən saqqız çürür.|154
Çoban çox olanda qoyunu qurd yeyər.|199
Çoban köpəyi kimi nə yeyər, nə yedirdər.|843
Çobanı özündən olanın qoyunu dişi doğar.|934
Çobanın könlü olsa, təkədən pendir tutar.|408
Çobanın yağı çox olanda çarığına sürtər.|419
Çox aş ya qarın ağrıdar, ya baş.|295
Çox aşna tutan aşnasız qalar.|256
Çox bilən çox çəkər.|433
Çox bilən quş dimdiyindən tələyə düşər.|155
Çox bilib az danışmaq igidin ləngəridir.|718
Çox çalışan çarıq yırtar, iş odu haqqa vara.|636
Çox danışan çox yanılar.|411
Çox doğru var, yalan ondan yaxşıdı.|440
Çox görən çox istər, az görənin yadına da düşməz.|406
Çox gülən çox da ağlar.|578
Çox hürən it tutmaz.|46
Çox istəyən azdan da olur.|912
Çox kötüklər üstündə çox şivlər doğranıb.|910
Çox qoyundan çox quzu olar.|497
Çox mal haramsız olmaz, çox söz yalansız.|495
Çox öyünmə, tat qızı, pendirindən qıl çıxır.|332
Çox yaşayan çox bilməz, çox yer gəzən çox bilər.|825
Çox yemək adamı az yeməkdən də qoyar.|237
Çoxluğa daş atılmaz.|353
Çolaq koru görəndə öz halına şükr elər.|627
Çor deyənə can desən, Yarəb, nəyin əksilər?|739
Çöl iti gəldi, öy itini qovdu.|216
Çölün aləmi yandırır, için özünü.|465
Çölmək dığırlanar, qapağın tapar.|781
Çölməkdə ət qurtardı, çuğundur baş qaldırdı.|877
Çölməyə verə-verə çıxar qazan bahası.|733
Çömçə aşdan isti oldu.|325
Çömçə quyruğuna yapışan yağlı yerindən yeyər.|993
Çömçə tutan sənə sarıdır.|637
Çömçənin qədri aş daşanda bilinər.|875
Çömçəynən içdin doymadın, yalamaqnan doyacaqsan?|841
Çöməlməmiş hürə bilmir.|773
Çörək açanı qılınc açmaz.|421
Çörək basan ayağa düşər.|913
Çörəyi at dəryaya, balıq bilməz, Xalıq bilər.|42
Çörəyi çörəkçiyə, bir çörək də üstəlik.|624
Çörəyi dizində olandan uzaq.|68
Çörəyi torpaqdan al, özgənin ağzından yox.|14
Çörəyin tək yeyən yükün özü çəkər.|528
Çör-çöplə yanan ocağın istisi olmaz.|607
Çubuğu vaxtkən əyməsən, böyüyəndə əyilməz.|728
Çuvala girməyən canım dağarcığa girib.|476
Çuvallar doldu, dağarcıqlar dolmaz.|779
Çürügün zora nə tabı?!|40
Çürük qoza qabığı neyləsin?!|522
Çürük paxlanın kor alıcısı olur.|280
Çürük taxta mıx götürməz.|643
Çürüntü aşı qarın doyurmaz.|136
Dabbaq sevdiyi dərini yerdən yerə vurar.|604
Dadanan dayanmaz.|631
Dadanandansan, qudurandan?|892
Dadananla quduranı saxlamaq olmaz.|792
Dadanıbsan dolmaya, o da ola, olmaya.|32
Dadımlıqdır, doyumluq deyil.|917
Dadlı söz – can arzusu, dadsız söz – baş ağrısı.|488
Dadmamısan qaz ətini, nə bilirsən ləzzətini?|5
Dadsız aşa duz neyləsin, ağılsız başa söz neyləsin.|401
Dağ ağrı çəkdi, nə doğdu? – siçan.|49
Dağ başına qış gələr, iyid başına iş.|20
Dağ başında xırman qurma, sovurarsan, yel aparar.|19
Dağ başından duman əskik olmaz.|446
Dağ dağa qovuşmaz, adam adama qovuşar.|556
Dağ iti gəldi, bağ itin qovaladı.|333
Dağ quşu dağa yaraşar, bağ quşu – bağa!|967
Dağ ola, duman ola, qırmızı tuman ola, mən olmayım, sən olasan.|492
Dağa desən oğrudur, başını əyər.|228
Dağına baxar qar verər, bağına baxar bar verər.|311
Dağlar qarıynan, torpaq varıynan.|503
Dağlar nə qədər uca ola, üstündən yollar aşar.|19
Dağarcıq çörəyinən dolanan dövlət başına ip salmaz.|194
Dağarcıq çuvaldan böyük oldu?!|750
Daldan atan topuqdan vurar.|461
Dama-dama göl olar, dada-dada heç.|197
Damar-damar, daşı dələr.|553
Damcı inadıyla daş dələr.|246
Damara baxarlar, qan alarlar.|786
Damazlığını yeyən tamarzı qalar.|124
Dan yerindən çıxan gün dəysin oynaşıma, bulud altından çıxan gün dəysin ərimə.|362
Dana böyüyər, amma çulu böyüməz.|398
Dana oynar, mıxını bərkidər.|735
Danışana dil vermir, yeriyənə yol.|630
Danışıqlı söz dağlar aşar.|749
Danışmaq dananı qurda verər.|380
Danışmaq qızıl olsa, danışmamaq gümüşdür.|952
Darayı, səni geyər hər ayı!|663
Darğa əmim, daha nə qəmim!|820
Darıya girən donuz payanı özünə qəbul eylər.|37
Daş atan bəlli, baş tutan bəlli.|235
Daş daşa, dırnaq daşa, siz savaşa, biz tamaşa.|146
Daş daşa söykənər - divar olar.|221
Daş düşdüyü yerdə ağır olar.|947
Daş qayaya rast gəlib.|894
Daşa mıxı çaxanda biri mıxa, üçü özünə dəyər.|715
Daşın böyüyü dostdan (yaxından) gəlir.|721
Daşürəkli düşmənin bağrın yarar yumşaqlıq.|873
Dava darlıqdan çıxar.|563
Dava ilə yas qarımaz.|301
Davaçın xan olsa Allah dadına yetsin.|132
Davada ağac ortadakına dəyər.|49
Davada halva paylamazlar.|726
Davalı söz baş yarar, doğru söz daş.|135
Davalı yerdə ot bitməz.|373
Davanın çeşnisi cidaldı.|984
Davasını bilməyənə şahid olma.|216
Dayanan su tez iyiyər.|879
Dayçanı bir vurarsan, iki sıçrar.|96
Dayı görməyib, elə bilir Şahqulu da bir dayıdır.|167
Dazın saznan yatdığı, sazın da təpik atdığı.|841
Dedi xacəyəm, dedi neçə oğlun var.|301
Dedik bir ağız ağla, demədik elləri başımıza yığ.|201
Dedim bir ağız ağla, demədim elləri güldür bizə.|596
Dedilər: Molla, aş aparırlar. Dedi: - mənə nə. Dedilər: - Sizə aparırlar. Dedi: - sənə nə!|130
Dediyindən dönsən, el dönər səndən, dediyini tutsan, el tutar səndən.|403
Demədiyin sözün ağasısan, dediyin sözün qulu.|499
Deməsən eşitməzsən.|833
Deyəcəyini fikir elə, sonra söylə.|694
Deyən Xalıx döyül, dedirən Xalıxdı.|505
Deyirəm – eldən ayıb, demənəm – yandı canım.|69
Deşikli muncuq yerdə qalmaz.|953
Dəbbədən yağ çıxar.|720
Dədələrin özü ölsə də, sözü ölməyib.|479
Dədəm bicdi, kündəni sayır, ciyim bicdi, kündədən kəsir.|187
Dədəm öldü ya vəlvələdən, ya zəlzələdən.|48
Dədəsi öldü, dedi: vaxtı çatıbdı, dəvəsi öldü, dedi: belim sındı.|653
Dədəsindən nə gül dərdim, balasından gülab çəkim?|413
Dədəsini görməyən şahlıq iddia eylər.|81
Dəli dəlidən xoşlanar, molla ölüdən.|133
Dəli dəlini görəndə çomağın belinə qısar.|501
Dəli dəliyə qoşular, dəyənək göydən yağar.|119
Dəli dostun olunca ağıllı düşmənin olsun.|457
Dəli dövran sürür, ağıllı vaxt gözlər.|929
Dəli ilə dövlətli – ikisi də bildiyin elər.|872
Dəli inək balasını çığnayar.|144
Dəli qız bir naxış bilər.|117
Dəli qız dayısından yaşınar.|739
Dəli qız deyər: anasız olaydım, bədəsil gəlin deyər: qaynanasız.|872
Dəli öküz gücün bilməz.|683
Dəli utanmaz, yiyəsi utanar.|389
Dəlicə qızdan dəlicə gəlin olar.|362
Dəlidən doğru xəbər.|50
Dəlilər dünyanı yedi, ağıllı indi cüt qoşur.|229
Dəlini apardılar toya, dedi: bura bizim evdən yaxşıdı!|503
Dəlinin başında qoz ağacı bitməz.|498
Dəlinin nə toyu olsun, nə yası.|438
Dəlinin yadına daş salma.|9
Dəliyə daş atma, öz başın yarılar.|898
